Type,Name,Flavor Profile,Image,Size,Strength
Salt Nic,Keep it 100 OG Summer Blue,"Blue Raspberry, Fruit, Blue Razz, Candy, Raspberry, Strawberry, Lemon, Lemonade",keep-it-100-og-summer-blue.jpg,30ml,
Salt Nic,Khali Devil's Punchbowl,"Guava, Peach, Fruit, Fruit Punch, Hawaiian Punch",khali-devil-s-punchbowl.jpg,30ml,
Salt Nic,Khali Devil's Punchbowl Ice,"Guava, Peach, Fruit, Fruit Punch, Hawaiian Punch, Ice, Menthol",khali-devil-s-punchbowl-ice.jpg,30ml,
Salt Nic,Khali The Fairmont,"Pineapple, Cream, Vanilla, Dessert",,30ml,
Salt Nic,Killer Fruits By Vapetasia Blue Razz,"Blue Raspberry, Fruit, Blue Razz, Candy",,30ml,
Salt Nic,Killer Fruits By Vapetasia Trapple,"Triple Apple, Golden Apple, Red Apple, Green Apple, Apple, Fruit",,30ml,
Salt Nic,Met4 Fair Grounds,"Deep Fried Twinkie, Twinkie, Cream Cake, Dessert, Vanilla",met4-fair-grounds.jpg,30ml,
Salt Nic,Met4 Golden Ticket,"Chocolate, Milk, Chocolate Milk, Dessert",met4-golden-ticket.jpg,30ml,
Salt Nic,ML Custard Monster Banana,"Banana, Cream, Custard, Dessert, Sweet",,30ml,24mg / 48mg
Salt Nic,ML Custard Monster Blackberry,"Sweet, Blackberry, Custard, Cream, Dessert",ml-custard-monster-blackberry.jpg,30ml,24mg / 48mg
Salt Nic,ML Custard Monster Blueberry,"Sweet, Blueberry, Custard, Cream, Dessert",ml-custard-monster-blueberry.jpg,30ml,24mg / 48mg
Salt Nic,ML Custard Monster Butterscotch,"Sweet, Butterscotch, Custard, Cream, Dessert",ml-custard-monster-butterscotch.jpg,30ml,24mg / 48mg
Salt Nic,ML Custard Monster Gingerbread,"Sweet, Gingerbread, Custard, Cream, Dessert",,30ml,24mg / 48mg
Salt Nic,ML Custard Monster Mixed Berry,"Sweet, Mixed Berry, Strawberry, Blackberry, Blueberry, Cream, Dessert, Custard, Raspberry",ml-custard-monster-mixed-berry.jpg,30ml,24mg / 48mg
Salt Nic,ML Custard Monster Strawberry,"Strawberry, Custard, Sweet, Cream, Dessert",ml-custard-monster-strawberry.jpg,30ml,24mg / 48mg
Salt Nic,ML Custard Monster Vanilla,"Vanilla, Custard, Sweet, Cream, Dessert",ml-custard-monster-vanilla.jpg,30ml,24mg / 48mg
Salt Nic,ML Frozen Fruit Monster Banana Ice,"Banana, Ice, Menthol, Fruit",ml-frozen-fruit-monster-banana-ice.jpg,30ml,24mg / 48mg
Salt Nic,ML Frozen Fruit Monster Black Cherry Ice,"Cherry, Ice, Menthol, Fruit",ml-frozen-fruit-monster-black-cherry-ice.jpg,30ml,24mg / 48mg
Salt Nic,ML Frozen Fruit Monster Blueberry Raspberry Lemon Ice,"Blueberry, Raspberry, Lemon, Ice, Menthol, Fruit",ml-frozen-fruit-monster-blueberry-raspberry-lemon-ice.jpg,30ml,24mg / 48mg
Salt Nic,ML Frozen Fruit Monster Mango Peach Guava Ice,"Mango, Peach, Guava, Fruit, Menthol, Ice",ml-frozen-fruit-monster-mango-peach-guava-ice.jpg,30ml,24mg / 48mg
Salt Nic,ML Frozen Fruit Monster Mixed Berry Ice,"Berry, Fruit, Mixed Berry, Strawberry, Blackberry, Blueberry, Raspberry, Ice, Menthol",ml-frozen-fruit-monster-mixed-berry-ice.jpg,30ml,24mg / 48mg
Salt Nic,ML Frozen Fruit Monster Passionfruit Orange Guava Ice,"Passionfruit, Orange, Guava, Ice, Menthol, Fruit",ml-frozen-fruit-monster-passionfruit-orange-guava-ice.jpg,30ml,24mg / 48mg
Salt Nic,ML Frozen Fruit Monster Strawberry Banana Ice,"Strawberry, Banana, Ice, Menthol, Fruit",ml-frozen-fruit-monster-strawberry-banana-ice.jpg,30ml,24mg / 48mg
Salt Nic,ML Frozen Fruit Monster Strawberry Kiwi Pomegranate Ice,"Strawberry, Kiwi, Pomegranate, Ice, Menthol, Fruit",ml-frozen-fruit-monster-strawberry-kiwi-pomegranate-ice.jpg,30ml,24mg / 48mg
Salt Nic,ML Frozen Fruit Monster Strawberry Lime Ice,"Strawberry, Lime, Ice, Fruit, Menthol",ml-frozen-fruit-monster-strawberry-lime-ice.jpg,30ml,24mg / 48mg
Salt Nic,ML Frozen Fruit Monster Double Mango Ice,"Mango, Ice, Menthol, Fruit",ml-frozen-fruit-monster-double-mango-ice.jpg,30ml,24mg / 48mg
Salt Nic,ML Fruit Monster Black Cherry,"Cherry, Fruit",ml-fruit-monster-black-cherry.jpg,30ml,24mg / 48mg
Salt Nic,ML Fruit Monster Blueberry Raspberry Lemon,"Blueberry, Raspberry, Lemon, Fruit",ml-fruit-monster-blueberry-raspberry-lemon.jpg,30ml,24mg / 48mg
Salt Nic,ML Fruit Monster Mango Peach Guava,"Mango, Peach, Guava, Fruit",ml-fruit-monster-mango-peach-guava.jpg,30ml,24mg / 48mg
Salt Nic,ML Fruit Monster Mixed Berry,"Raspberry, Blueberry, Strawberry, Blackberry, Fruit",ml-fruit-monster-mixed-berry.jpg,30ml,24mg / 48mg
Salt Nic,ML Fruit Monster Passionfruit Orange Guava,"Passionfruit, Orange, Guava, Fruit, Tropical",ml-fruit-monster-passionfruit-orange-guava.jpg,30ml,24mg / 48mg
Salt Nic,ML Fruit Monster Strawberry Banana,"Strawberry, Banana, Fruit",ml-fruit-monster-strawberry-banana.jpg,30ml,24mg / 48mg
Salt Nic,ML Fruit Monster Strawberry Kiwi Pomegranate,"Strawberry, Kiwi, Pomegranate, Fruit",ml-fruit-monster-strawberry-kiwi-pomegranate.jpg,30ml,24mg / 48mg
Salt Nic,ML Fruit Monster Strawberry Lime,"Strawberry, Lime, Fruit",ml-fruit-monster-strawberry-lime.jpg,30ml,24mg / 48mg
Salt Nic,ML Jam Monster Banana,"Banana, Jam, Butter, Toast, Dessert",ml-jam-monster-banana.jpg,30ml,24mg / 48mg
Salt Nic,ML Jam Monster Black Cherry,"Cherry, Jam, Butter, Toast, Dessert",ml-jam-monster-black-cherry.png,30ml,24mg / 48mg
Salt Nic,ML Jam Monster Blackberry,"Blackberry, Jam, Butter, Toast, Dessert",ml-jam-monster-blackberry.jpg,30ml,24mg / 48mg
Salt Nic,ML Jam Monster Blueberry,"Blueberry, Jam, Butter, Toast, Dessert",ml-jam-monster-blueberry.jpg,30ml,24mg / 48mg
Salt Nic,ML Jam Monster Grape,"Grape, Jam, Butter, Toast, Dessert",ml-jam-monster-grape.jpg,30ml,24mg / 48mg
Salt Nic,ML Jam Monster Mixed Berry,"Strawberry, Blackberry, Blueberry, Raspberry, Mixed Berry, Jam, Butter, Toast, Dessert",ml-jam-monster-mixed-berry.jpg,30ml,24mg / 48mg
Salt Nic,ML Jam Monster PB & Banana,"Peanut, Peanut Butter, Banana, Jam, Dessert",ml-jam-monster-pb-banana.jpg,30ml,24mg / 48mg
Salt Nic,ML Jam Monster PB & Grape,"Peanut, Peanut Butter, Grape, Jam, Dessert",ml-jam-monster-pb-grape.jpg,30ml,24mg / 48mg
Salt Nic,ML Jam Monster PB & Strawberry,"Peanut, Peanut Butter, Strawberry, Jam, Dessert",ml-jam-monster-pb-strawberry.jpg,30ml,24mg / 48mg
Salt Nic,ML Jam Monster Peach,"Peach, Jam, Butter, Toast, Dessert",ml-jam-monster-peach.jpg,30ml,24mg / 48mg
Salt Nic,ML Jam Monster Raspberry,"Raspberry, Jam, Butter, Toast, Dessert",ml-jam-monster-raspberry.jpg,30ml,24mg / 48mg
Salt Nic,ML Jam Monster Strawberry,"Strawberry, Jam, Butter, Toast, Dessert",ml-jam-monster-strawberry.jpg,30ml,24mg / 48mg
Salt Nic,ML Lemonade Monster Blueberry Lemonade,"Blueberry, Lemon, Lemonade, Fruit",ml-lemonade-monster-blueberry-lemonade.jpg,30ml,
Salt Nic,ML Lemonade Monster Mango Lemonade,"Mango, Lemon, Lemonade, Fruit",ml-lemonade-monster-mango-lemonade.jpg,30ml,
Salt Nic,ML Lemonade Monster Mint Lemonade,"Mint, Lemon, Lemonade, Spearmint, Ice",ml-lemonade-monster-mint-lemonade.jpg,30ml,
Salt Nic,ML Lemonade Monster Pink Lemonade,"Lemonade, Lemon, Citrus, Fruit",ml-lemonade-monster-pink-lemonade.jpg,30ml,
Salt Nic,ML Lemonade Monster Strawberry Lemonade,"Lemon, Lemonade, Strawberry, Fruit",ml-lemonade-monster-strawberry-lemonade.jpg,30ml,
Salt Nic,ML Lemonade Monster Watermelon Lemonade,"Lemonade, Lemon, Watermelon, Fruit",ml-lemonade-monster-watermelon-lemonade.jpg,30ml,
Salt Nic,Lemon Monster Blueberry Lemonade,"Blueberry, Lemon, Lemonade, Fruit",lemon-monster-blueberry-lemonade.jpg,30ml,
Salt Nic,Lemon Monster Pink Lemonade,"Lemonade, Lemon, Citrus, Fruit",lemon-monster-pink-lemonade.jpg,30ml,
Salt Nic,Lemon Monster Strawberry Lemonade,"Lemon, Lemonade, Strawberry, Fruit",lemon-monster-strawberry-lemonade.jpg,30ml,
Salt Nic,Lemon Monster Watermelon Lemonade,"Lemonade, Lemon, Watermelon, Fruit",lemon-monster-watermelon-lemonade.jpg,30ml,
Salt Nic,ML The Milk Berry Crunch,"Milk, Berry, Strawberry, Blueberry, Raspberry, Cream, Dessert, Cereal",ml-the-milk-berry-crunch.jpg,30ml,24mg / 48mg
Salt Nic,ML The Milk Cinnamon,"Milk, Cinnamon, Cream, Dessert, Cereal",ml-the-milk-cinnamon.jpg,30ml,24mg / 48mg
Salt Nic,ML The Milk Fruity,"Fruity Pebbles, Cereal, Milk, Cream, Dessert",ml-the-milk-fruity.jpg,30ml,24mg / 48mg
Salt Nic,ML The Milk Jax,"Milk, Apple, Cinnamon, Cream, Dessert, Cereal",ml-the-milk-jax.jpg,30ml,24mg / 48mg
Salt Nic,ML The Milk Strawberry,"Strawberry, Cream, Milk, Dessert",ml-the-milk-strawberry.jpg,30ml,24mg / 48mg
Salt Nic,ML Tobacco Monster Bold,Tobacco,ml-tobacco-monster-bold.jpg,30ml,24mg / 48mg
Salt Nic,ML Tobacco Monster Rich,Tobacco,ml-tobacco-monster-rich.jpg,30ml,24mg / 48mg
Salt Nic,ML Tobacco Monster Smooth,"Tobacco, Sweet, Cream",ml-tobacco-monster-smooth.jpg,30ml,24mg / 48mg
Salt Nic,MRKT PLCE Blood Orange Tangoberry,"Blood Orange, Tangerine, Orange, Grapefruit, Blueberry, Fruit",mrkt-plce-blood-orange-tangoberry.jpg,30ml,
Salt Nic,MRKT PLCE Fuji Pear Mangoberry,"Pear, Mango, Apple, Raspberry, Fruit",mrkt-plce-fuji-pear-mangoberry.jpg,30ml,
Salt Nic,MRKT PLCE Forbidden Berry,"Berry, Strawberry, Raspberry, Blackberry",mrkt-plce-forbidden-berry.jpg,30ml,
Salt Nic,MRKT PLCE Pineapple Peach Dragonberry,"Pineapple, Peach, Dragonberry, Berry",mrkt-plce-pineapple-peach-dragonberry.jpg,30ml,
Salt Nic,MRKT PLCE Watermelon Hula Berry Lime,"Sour, Watermelon, Lime",mrkt-plce-watermelon-hula-berry-lime.jpg,30ml,
Salt Nic,Naked 100 American Patriot,Tobacco,naked-100-american-patriot.png,30ml,
Salt Nic,Naked 100 Berry Menthol,"Berry, Blueberry, Blackberry, Raspberry, Menthol, Ice, Fruit",,30ml,
Salt Nic,Naked 100 Cuban Blend,"Tobacco, Smooth",naked-100-cuban-blend.png,30ml,
Salt Nic,Naked 100 Euro Gold,"Tobacco, Light",naked-100-euro-gold.png,30ml,
Salt Nic,Naked 100 Hawaiian POG,"Passionfruit, Orange, Guava, Fruit, Tropical",naked-100-hawaiian-pog.png,30ml,
Salt Nic,Naked 100 Lava Flow,"Strawberry, Coconut, Pineapple, Pina Colada, Fruit",naked-100-lava-flow.png,30ml,
Salt Nic,Naked 100 Mango,"Mango, Peach, Cream, Fruit",naked-100-mango.png,30ml,
Salt Nic,Naked 100 Mint Menthol,"Mint, Menthol, Cool, Ice",,30ml,
Salt Nic,Naked 100 Really Berry,"Blueberry, Blackberry, Lemon, Fruit",naked-100-really-berry.png,30ml,
Salt Nic,Naked 100 Strawberry Pom Menthol,"Strawberry, Kiwi, Pomegranate, Ice, Menthol, Fruit",,30ml,
Salt Nic,Noms X2 Cactus Jackfruit Mandarine,"Cactus, Jackfruit, Mandarin, Fruit",,30ml,
Salt Nic,Noms X2 White Peach Raspberry,"Peach, Raspberry, Fruit",noms-x2-white-peach-raspberry.jpg,30ml,
Salt Nic,Pachamama Apple Tobacco,"Apple, Tobacco",pachamama-apple-tobacco.jpg,30ml,
Salt Nic,Pachamama Black Ice,"Blackberry, Ice, Menthol, Fruit, Cucumber",,30ml,
Salt Nic,Pachamama Blue Razz Ice,"Blue Razz, Sweet, Blue Raspberry, Ice, Mint, Candy, Fruit",,30ml,
Salt Nic,Pachamama Cherry Limeade,"Cherry, Lime, Lemon, Fruit",pachamama-cherry-limeade.jpg,30ml,
Salt Nic,Pachamama Frosted Cronut,"Vanilla, Caramel, Donut, Dessert",pachamama-frosted-cronut.jpg,30ml,
Salt Nic,Pachamama Fuji,"Apple, Strawberry, Nectarine, Fruit",pachamama-fuji.jpg,30ml,
Salt Nic,Pachamama Fuji Ice,"Apple, Strawberry, Nectarine, Fruit, Ice, Menthol",,30ml,
Salt Nic,Pachamama Golden Peach Pineapple,"Peach, Pineapple, Fruit",,30ml,
Salt Nic,Pachamama Honeydew Melon,"Melon, Honeydew, Fruit",pachamama-honeydew-melon.jpg,30ml,
Salt Nic,Pachamama Icy Mango,"Mango, Ice, Fruit, Menthol",pachamama-icy-mango.jpg,30ml,
Salt Nic,Pachamama Kiwi Berry Ice,"Kiwi, Strawberry, Blueberry, Ice, Menthol, Fruit",pachamama-kiwi-berry-ice.jpg,30ml,
Salt Nic,Pachamama Kiwi Guava Passionfruit,"Kiwi, Guava, Passionfruit, Fruit",pachamama-kiwi-guava-passionfruit.jpg,30ml,
Salt Nic,Pachamama Pink Berry Ice,"Berry, Strawberry, Raspberry, Menthol, Ice, Fruit",pachamama-pink-berry-ice.jpg,30ml,
Salt Nic,Pachamama Purple Mango,"Mango, Fruit, Candy",pachamama-purple-mango.jpg,30ml,
Salt Nic,Pachamama Sorbet,"Raspberry, Lemon, Fruit",pachamama-sorbet.jpg,30ml,
Salt Nic,Pachamama Starfruit Grape,"Starfruit, Grape, Fruit",,30ml,
Salt Nic,Pachamama Starfruit Grape Ice,"Starfruit, Grape, Fruit, Ice, Menthol",,30ml,
Salt Nic,Pachamama Strawberry Watermelon,"Strawberry, Watermelon, Fruit, Candy",,30ml,
Salt Nic,Pachamama Syn Citrus Medley,"Orange, Lemon, Lime, Grapefruit, Fruit, Citrus",pachamama-syn-citrus-medley.jpg,30ml,
Salt Nic,Pachamama White Peach Ice,"Peach, Fruit, Menthol, Ice",,30ml,
Salt Nic,Pinup Vapors Beach Betty,"Tropical Fruits, Berries, Mixed Fruit, Fruit, Mystery, Pina Colada, Pineapple, Coconut",,30ml,
Salt Nic,Pinup Vapors Betty - A variety of different fruit flavors that change with each puff.,"Tropical Fruits, Berries, Mixed Fruit, Mystery, Fruit",,30ml,
Salt Nic,Pinup Vapors Betty Chill - An iced version of a variety of different fruit flavors that change with each puff.,"Tropical Fruits, Berries, Mixed Fruit, Mystery, Fruit, Ice, Menthol",,30ml,
Salt Nic,Pinup Vapors Christie,"Pineapple, Coconut, Pina Colada, Fruit",pinup-vapors-christie.jpg,30ml,
Salt Nic,Pinup Vapors Marilyn - Blend of creamy vanilla custard with hints of butterscotch and a warm caramel drizzle.,"Vanilla, Caramel, Cream, Butterscotch, Dessert",,30ml,
Salt Nic,Pinup Vapors Rita,"Orange, Pineapple, Cherry, Strawberry, Grape, Fruit, Candy, Smarties",pinup-vapors-rita.jpg,30ml,
Salt Nic,Pod Juice Blue Razz Freeze,"Blue Raspberry, Blue Razz, Ice, Candy, Fruit, Menthol",pod-juice-blue-razz-freeze.jpg,30ml,
Salt Nic,Pod Juice Cola Freeze,"Cola, Ice, Menthol",pod-juice-cola-freeze.jpg,30ml,
Salt Nic,Pod Juice Cotton Clouds,"Blue Razz, Blue Raspberry, Strawberry, Vanilla, Cotton Candy, Candy, Fruit",pod-juice-cotton-clouds.jpg,30ml,
Salt Nic,Pod Juice Frozen Strawberry Freeze,"Strawberry, Ice, Menthol",,30ml,
Salt Nic,Pod Juice Jewel Mint,"Mint, Ice, Menthol, Spearmint",pod-juice-jewel-mint.jpg,30ml,
Salt Nic,Pod Juice Jewel Mint Diamond,"Mint, Unsweet, Menthol, Ice",pod-juice-jewel-mint-diamond.jpg,30ml,
Salt Nic,Pod Juice Jewel Mint Lush Freeze,"Watermelon, Fruit, Ice, Menthol, Mint",pod-juice-jewel-mint-lush-freeze.jpg,30ml,
Salt Nic,Pod Juice Jewel Mint Sapphire,"Mint, Ice, Menthol, Wintergreen",pod-juice-jewel-mint-sapphire.jpg,30ml,
Salt Nic,Pod Juice PJ5000 Jewel Malibu Mint,"Mint, Citrus, Lemon, Lime, Menthol, Orange, Fruit, Ice",pod-juice-pj5000-jewel-malibu-mint.jpg,30ml,
Salt Nic,Pod Juice PJ5000 Sakura Grape,"Cherry Blossom, Grape, Fruit",pod-juice-pj5000-sakura-grape.jpg,30ml,
Salt Nic,Pod Juice Pod Energy Freeze,"Redbull, Energy Drink, Ice, Menthol",,30ml,
Salt Nic,Pod Juice Sour Fruity Worms,"Gummy Worms, Gummy, Candy, Orange, Lime, Lemon, Strawberry, Cherry, Raspberry, Fruit",pod-juice-sour-fruity-worms.jpg,30ml,
Salt Nic,Pod Juice Virginia Tobacco,Tobacco,pod-juice-virginia-tobacco.jpg,30ml,
Salt Nic,Propaganda Blue Frost,"Blue Raspberry, Blue Razz, Slushy, Fruit, Candy",propaganda-blue-frost.jpg,30ml,
Salt Nic,Propaganda Cookie Butter,"Vanilla, Oatmeal Cookie, Cream, Cookie, Milk, Dessert",propaganda-cookie-butter.jpg,30ml,
Salt Nic,Propaganda Illuminati,"Blood Orange, Strawberry, Pineapple, Fruit",propaganda-illuminati.jpg,30ml,
Salt Nic,Propaganda Wild Fire,"Almond, Chocolate, Cookie, Dessert",propaganda-wild-fire.jpg,30ml,
Salt Nic,Sadboy B Coconut Cake,"Coconut, Cake, Vanilla, Cream, Dessert",sadboy-b-coconut-cake.jpg,30ml,
Salt Nic,Sadboy B Strawberry Cheesecake,"Strawberry, Cheesecake, Cream, Graham, Dessert",sadboy-b-strawberry-cheesecake.jpg,30ml,
Salt Nic,Sadboy C Blueberry Cookie,"Blueberry, Cookie, Dessert",sadboy-c-blueberry-cookie.jpg,30ml,
Salt Nic,Sadboy C Butter Cookie,"Butter, Cookie, Lemon, Dessert",sadboy-c-butter-cookie.jpg,30ml,
Salt Nic,Sadboy C Custard Cookie,"Custard, Vanilla, Cookie, Dessert",sadboy-c-custard-cookie.jpg,30ml,
Salt Nic,Sadboy C Key Lime Cookie,"Lime, Cookie, Key Lime, Dessert",sadboy-c-key-lime-cookie.jpg,30ml,
Salt Nic,Sadboy C Pumpkin Cookie,"Pumpkin, Cinnamon, Cookie, Dessert, Nutmeg",sadboy-c-pumpkin-cookie.jpg,30ml,
Salt Nic,Sadboy C Shamrock Cookie,"Mint, Cookie, Dessert",sadboy-c-shamrock-cookie.jpg,30ml,
Salt Nic,Sadboy C Unicorn Tears,"Citrus, Cookie, Dessert",sadboy-c-unicorn-tears.jpg,30ml,
Salt Nic,Sadboy F Punch Berry Blood,"Strawberry, Blackberry, Blueberry, Lemon, Raspberry, Lemonade, Candy, Fruit",sadboy-f-punch-berry-blood.jpg,30ml,
Salt Nic,Sadboy F Rainbow Blood,"Strawberry, Blackberry, Blueberry, Raspberry, Lemonade, Fruit",sadboy-f-rainbow-blood.jpg,30ml,
Salt Nic,Sadboy F Strawberry Blood,"Strawberry, Candy, Fruit",sadboy-f-strawberry-blood.jpg,30ml,
Salt Nic,Sadboy Happy End Blue,"Blue Raspberry, Blue Razz, Cotton Candy, Candy, Fruit",sadboy-happy-end-blue.jpg,30ml,
Salt Nic,Sadboy Happy End Pink,"Strawberry, Cotton Candy, Candy, Fruit",sadboy-happy-end-pink.jpg,30ml,
Salt Nic,Sadboy J Blueberry Jam,"Blueberry, Cookie, Dessert, Jam",sadboy-j-blueberry-jam.jpg,30ml,
Salt Nic,Sadboy J Lemon Cookie,"Cookie, Lemon, Dessert, Jam",sadboy-j-lemon-cookie.jpg,30ml,
Salt Nic,Sadboy J Strawberry Jam,"Strawberry, Cookie, Jam, Dessert",sadboy-j-strawberry-jam.jpg,30ml,
Salt Nic,Sadboy Nola Bar Berry,"Cream, Blueberry, Granola, Dessert",,30ml,
Salt Nic,Sadboy Nola Bar Strawberry,"Cream, Strawberry, Granola, Dessert",,30ml,
Salt Nic,Shijin Tortoise Blood,"Blue Raspberry, Blue Razz, Apple, Green Apple, Fruit, Candy, Sherbert",,30ml,
Salt Nic,Shijin Tortoise Blood on ICE,"Blue Raspberry, Blue Razz, Apple, Green Apple, Fruit, Candy, Menthol, Ice",,30ml,
Salt Nic,Shijin Tortoise Blood on the Rocks,"Blue Raspberry, Blue Razz, Apple, Green Apple, Fruit, Candy, Spearmint, Ice, Mint",,30ml,
Salt Nic,The Finest Tiramisu Custard,"Coffee, Cream, Tiramisu, Vanilla, Custard, Graham, Dessert",,30ml,
Salt Nic,Twist Blend No.1,"Orange, Strawberry, Blueberry, Pineapple, Fruit",twist-blend-no-1.jpg,30ml,
Salt Nic,Twist Green No.1,"Honeydew, Cantaloupe, Candy, Melon, Fruit",twist-green-no-1.jpg,30ml,
Salt Nic,Twist Menthol No.1,"Menthol, Ice",twist-menthol-no-1.jpg,30ml,
Salt Nic,Twist Mint 0,"Mint, Wintergreen, Ice, Menthol",twist-mint-0.jpg,30ml,
Salt Nic,Twist Mint No.1,"Mint, Spearmint, Cool, Ice, Menthol",twist-mint-no-1.jpg,30ml,
Salt Nic,Twist Pink 0,"Lemon, Lemonade, Strawberry, Ice, Menthol, Fruit",twist-pink-0.jpg,30ml,
Salt Nic,Twist Purple Grape,"Grape, Berry, Strawberry, Blueberry, Raspberry, Fruit",twist-purple-grape.jpg,30ml,
Salt Nic,Twist Purple No. 1,"Berry, Blueberry, Strawberry, Raspberry, Lemonade, Lemon, Fruit",twist-purple-no-1.jpg,30ml,
Salt Nic,Twist Red No.1,"Watermelon, Lemon, Lemonade, Fruit",twist-red-no-1.jpg,30ml,
Salt Nic,Twist Tobacco Gold No.1,Tobacco,twist-tobacco-gold-no-1.jpg,30ml,
Salt Nic,Vapetasia Killer Kustard,"Cream, Vanilla, Custard, Dessert",vapetasia-killer-kustard.jpg,30ml,
Salt Nic,Vapetasia Royalty 2,"Tobacco, Hazelnut, Vanilla, Cream, Custard, Dessert",vapetasia-royalty-2.jpg,30ml,
Salt Nic,Verdict Vapors Convict - Strawberry Milk,"Strawberry, Milk, Cream, Marshmallow, Dessert",,30ml,
Salt Nic,Verdict Vapors Mints Chocomint,"Mint, Chocolate, Spearmint, Ice, Menthol, Candy",,30ml,
Salt Nic,Verdict Vapors Mints Peppermint,"Mint, Peppermint, Menthol, Ice",,30ml,
Salt Nic,Verdict Vapors Mints Spearmint,"Mint, Spearmint, Ice, Menthol",,30ml,
Salt Nic,Verdict Vapors Mints Wintergreen,"Mint, Wintergreen, Ice, Menthol",,30ml,
Salt Nic,Verdict Vapors Warden - Hazelnut Pecan Butter,"Hazelnut, Pecan, Butter, Cream, Vanilla, Dessert",,30ml,
Salt Nic,VGod Apple Bomb,"Apple, Green Apple, Fruit, Candy",vgod-apple-bomb.jpg,30ml,
Salt Nic,VGod Berry Bomb,"Strawberry, Fruit, Candy",vgod-berry-bomb.jpg,30ml,
Salt Nic,VGod Cubano,"Tobacco, Cigar, Vanilla",vgod-cubano.jpg,30ml,
Salt Nic,VGod Cubano Black,"Tobacco, Custard, Vanilla",vgod-cubano-black.jpg,30ml,
Salt Nic,VGod Cubano Silver,"Tobacco, Honey, Vanilla, Custard",vgod-cubano-silver.jpg,30ml,
Salt Nic,VGod Dry Tobacco,Tobacco,vgod-dry-tobacco.jpg,30ml,
Salt Nic,VGod Iced Apple Bomb,"Apple, Green Apple, Ice, Menthol, Fruit, Candy",vgod-iced-apple-bomb.jpg,30ml,
Salt Nic,VGod Iced Berry Bomb,"Strawberry, Fruit, Candy, Ice, Menthol",vgod-iced-berry-bomb.jpg,30ml,
Salt Nic,VGod Iced Mango Bomb,"Mango, Fruit, Ice, Menthol",vgod-iced-mango-bomb.jpg,30ml,
Salt Nic,VGod Iced Purple Bomb,"Grape, Fruit, Candy, Ice, Menthol",vgod-iced-purple-bomb.jpg,30ml,
Salt Nic,VGod Lucious,"Watermelon, Fruit, Candy",vgod-lucious.jpg,30ml,
Salt Nic,VGod Lush Ice Eliquids,"Watermelon, Ice, Fruit, Menthol, Lush Ice, Candy",vgod-lush-ice-eliquids.jpg,30ml,
Salt Nic,VGod Mango Bomb,"Mango, Fruit",vgod-mango-bomb.jpg,30ml,
Salt Nic,VGod Mighty Mint,"Mint, Wintergreen, Ice, Menthol",vgod-mighty-mint.jpg,30ml,
Salt Nic,VGod Purple Bomb,"Grape, Fruit, Candy",vgod-purple-bomb.jpg,30ml,
Salt Nic,VGod Summer Strawberry,"Strawberry, Ice, Menthol, Fruit",vgod-summer-strawberry.jpg,30ml,
Salt Nic,Yogi Apple Cinnamon Granola Bar,"Apple, Cinnamon, Granola, Dessert, Honey",yogi-apple-cinnamon-granola-bar.jpg,30ml,
Salt Nic,Yogi Blueberry Granola Bar,"Blueberry, Granola, Honey, Desserrt",yogi-blueberry-granola-bar.jpg,30ml,
Salt Nic,Yogi Java,"Coffee, Chocolate, Granola, Honey, Dessert",yogi-java.jpg,30ml,
Salt Nic,Yogi Original,"Granola, Honey, Dessert",yogi-original.jpg,30ml,
Salt Nic,Yogi Peanut Butter Banana,"Banana, Peanut Butter, Granola, Honey, Dessert",yogi-peanut-butter-banana.jpg,30ml,
Salt Nic,Yogi Strawberry Granola Bar,"Strawberry, Granola, Honey, Dessert",yogi-strawberry-granola-bar.jpg,30ml,
Salt Nic,Yogi Vanilla Tobacco,"Vanilla, Tobacco, Cream, Honey, Granola, Dessert",yogi-vanilla-tobacco.jpg,30ml,
Sub-Ohm,7 Daze Fusion Banana Cantaloupe Honeydew,"SUB, 7daze, 7 daze, Banana, Cantaloupe, Honeydew, Fruit",7-daze-fusion-banana-cantaloupe-honeydew.png,,
Sub-Ohm,7 Daze Fusion Grape Apple Aloe,"SUB, 7daze, 7 daze, Grape, Apple, Aloe, Fruit",7-daze-fusion-grape-apple-aloe.png,,
Sub-Ohm,7 Daze Fusion Kiwi Passionfruit Guava,"SUB, 7daze, 7 daze, Kiwi, Passionfruit, Guava, Fruit",7-daze-fusion-kiwi-passionfruit-guava.png,,
Sub-Ohm,7 Daze Fusion Lemon Passionfruit Blueberry,"SUB, 7daze, 7 daze, Lemon, Passionfruit, Blueberry, Fruit",7-daze-fusion-lemon-passionfruit-blueberry.png,,
Sub-Ohm,7 Daze Fusion Orange Cream Mango,"SUB, 7daze, 7 daze, Orange, Cream, Mango, Fruit",7-daze-fusion-orange-cream-mango.png,,
Sub-Ohm,7 Daze Fusion Orange Yuzu Tangerine,"SUB, 7daze, 7 daze, Oranges, Yuzu, Tangerine, Fruit",7-daze-fusion-orange-yuzu-tangerine.png,,
Sub-Ohm,7 Daze Fusion Pineapple Coconut Banana,"SUB, 7daze, 7 daze, Pineapple, Coconut, Banana, Pina Colada, Fruit",7-daze-fusion-pineapple-coconut-banana.png,,
