type,manufacturer,flavor,profile,price,link
SALT,Propaganda,Illuminati,"Blood Orange, Strawberry, Pineapple, Fruit",,
SALT,Propaganda,Wild Fire,"Almond, Chocolate, Cookie, Dessert",,
SALT,Sadboy,B Coconut Cake,"Coconut, Cake, Vanilla, Cream, Dessert",,
SALT,Sadboy,B Strawberry Cheesecake,"Strawberry, Cheesecake, Cream, Graham, Dessert",,
SALT,Sadboy,C Blueberry Cookie,"Blueberry, Cookie, Dessert",,
SALT,Sadboy,C Butter Cookie,"Butter, Cookie, Lemon, Dessert",,
SALT,Sadboy,C Custard Cookie,"Custard, Vanilla, Cookie, Dessert",,
SALT,Sadboy,C Key Lime Cookie,"Lime, Cookie, Key Lime, Dessert",,
SALT,Sadboy,C Pumpkin Cookie,"Pumpkin, Cinnamon, Cookie, Dessert, Nutmeg",,
SALT,Sadboy,C Shamrock Cookie,"Mint, Cookie, Dessert",,
SALT,Sadboy,C Unicorn Tears,"Citrus, Cookie, Dessert",,
SALT,Sadboy,F Punch Berry Blood,"Strawberry, Blackberry, Blueberry, Lemon, Raspberry, Lemonade, Candy, Fruit",,
SALT,Sadboy,F Rainbow Blood,"Strawberry, Blackberry, Blueberry, Raspberry, Lemonade, Fruit",,
SALT,Sadboy,F Strawberry Blood,"Strawberry, Candy, Fruit",,
SALT,Sadboy,Happy End Blue,"Blue Raspberry, Blue Razz, Cotton Candy, Candy, Fruit",,
SALT,Sadboy,Happy End Pink,"Strawberry, Cotton Candy, Candy, Fruit",,
SALT,Sadboy,J Blueberry Jam,"Blueberry, Cookie, Dessert, Jam",,
SALT,Sadboy,J Lemon Cookie,"Cookie, Lemon, Dessert, Jam",,
SALT,Sadboy,J Strawberry Jam,"Strawberry, Cookie, Jam, Dessert",,
SALT,Sadboy,Nola Bar Berry,"Cream, Blueberry, Granola, Dessert",,
SALT,Sadboy,Nola Bar Strawberry,"Cream, Strawberry, Granola, Dessert",,
SALT,Shijin,Tortoise Blood,"Blue Raspberry, Blue Razz, Apple, Green Apple, Fruit, Candy, Sherbert",,
SALT,Shijin,Tortoise Blood on ICE,"Blue Raspberry, Blue Razz, Apple, Green Apple, Fruit, Candy, Menthol, Ice",,
SALT,Shijin,Tortoise Blood on the Rocks,"Blue Raspberry, Blue Razz, Apple, Green Apple, Fruit, Candy, Spearmint, Ice, Mint",,
SALT,The Finest,Tiramisu Custard,"Coffee, Cream, Tiramisu, Vanilla, Custard, Graham, Dessert",,
SALT,Twist,Blend No.1,"Orange, Strawberry, Blueberry, Pineapple, Fruit",,
SALT,Twist,Green No.1,"Honeydew, Cantaloupe, Candy, Melon, Fruit",,
SALT,Twist,Menthol No.1,"Menthol, Ice",,
SALT,Twist,Mint 0,"Mint, Wintergreen, Ice, Menthol",,
SALT,Twist,Mint No.1,"Mint, Spearmint, Cool, Ice, Menthol",,
SALT,Twist,Pink 0,"Lemon, Lemonade, Strawberry, Ice, Menthol, Fruit",,
SALT,Twist,Purple Grape,"Grape, Berry, Strawberry, Blueberry, Raspberry, Fruit",,
SALT,Twist,Purple No. 1,"Berry, Blueberry, Strawberry, Raspberry, Lemonade, Lemon, Fruit",,
SALT,Twist,Red No.1,"Watermelon, Lemon, Lemonade, Fruit",,
SALT,Twist,Tobacco Gold No.1,Tobacco,,
SALT,Vapetasia,Killer Kustard,"Cream, Vanilla, Custard, Dessert",,
SALT,Vapetasia,Royalty 2,"Tobacco, Hazelnut, Vanilla, Cream, Custard, Dessert",,
SALT,Verdict Vapors,Convict - Strawberry Milk,"Strawberry, Milk, Cream, Marshmallow, Dessert",,
SALT,Verdict Vapors,Mints Chocomint,"Mint, Chocolate, Spearmint, Ice, Menthol, Candy",,
SALT,Verdict Vapors,Mints Peppermint,"Mint, Peppermint, Menthol, Ice",,
SALT,Verdict Vapors,Mints Spearmint,"Mint, Spearmint, Ice, Menthol",,
SALT,Verdict Vapors,Mints Wintergreen,"Mint, Wintergreen, Ice, Menthol",,
SALT,Verdict Vapors,Warden - Hazelnut Pecan Butter,"Hazelnut, Pecan, Butter, Cream, Vanilla, Dessert",,
SALT,VGod,Apple Bomb,"Apple, Green Apple, Fruit, Candy",,
SALT,VGod,Berry Bomb,"Strawberry, Fruit, Candy",,
SALT,VGod,Cubano,"Tobacco, Cigar, Vanilla",,
SALT,VGod,Cubano Black,"Tobacco, Custard, Vanilla",,
SALT,VGod,Cubano Silver,"Tobacco, Honey, Vanilla, Custard",,
SALT,VGod,Dry Tobacco,Tobacco,,
SALT,VGod,Iced Apple Bomb,"Apple, Green Apple, Ice, Menthol, Fruit, Candy",,
SALT,VGod,Iced Berry Bomb,"Strawberry, Fruit, Candy, Ice, Menthol",,
SALT,VGod,Iced Mango Bomb,"Mango, Fruit, Ice, Menthol",,
SALT,VGod,Iced Purple Bomb,"Grape, Fruit, Candy, Ice, Menthol",,
SALT,VGod,Lucious,"Watermelon, Fruit, Candy",,
SALT,VGod,Lush Ice Eliquids,"Watermelon, Ice, Fruit, Menthol, Lush Ice, Candy",,
SALT,VGod,Mango Bomb,"Mango, Fruit",,
SALT,VGod,Mighty Mint,"Mint, Wintergreen, Ice, Menthol",,
SALT,VGod,Purple Bomb,"Grape, Fruit, Candy",,
SALT,VGod,Summer Strawberry,"Strawberry, Ice, Menthol, Fruit",,
SALT,Yogi,Apple Cinnamon Granola Bar,"Apple, Cinnamon, Granola, Dessert, Honey",,
SALT,Yogi,Blueberry Granola Bar,"Blueberry, Granola, Honey, Desserrt",,
SALT,Yogi,Java,"Coffee, Chocolate, Granola, Honey, Dessert",,
SALT,Yogi,Original,"Granola, Honey, Dessert",,
SALT,Yogi,Peanut Butter Banana,"Banana, Peanut Butter, Granola, Honey, Dessert",,
SALT,Yogi,Strawberry Granola Bar,"Strawberry, Granola, Honey, Dessert",,
SALT,Yogi,Vanilla Tobacco,"Vanilla, Tobacco, Cream, Honey, Granola, Dessert",,
SUB,7 Daze,Fusion Banana Cantaloupe Honeydew,"SUB, 7daze, 7 daze, Banana, Cantaloupe, Honeydew, Fruit",,
SUB,7 Daze,Fusion Grape Apple Aloe,"SUB, 7daze, 7 daze, Grape, Apple, Aloe, Fruit",,
SUB,7 Daze,Fusion Kiwi Passionfruit Guava,"SUB, 7daze, 7 daze, Kiwi, Passionfruit, Guava, Fruit",,
SUB,7 Daze,Fusion Lemon Passionfruit Blueberry,"SUB, 7daze, 7 daze, Lemon, Passionfruit, Blueberry, Fruit",,
SUB,7 Daze,Fusion Orange Cream Mango,"SUB, 7daze, 7 daze, Orange, Cream, Mango, Fruit",,
SUB,7 Daze,Fusion Orange Yuzu Tangerine,"SUB, 7daze, 7 daze, Oranges, Yuzu, Tangerine, Fruit",,
SUB,7 Daze,Fusion Pineapple Coconut Banana,"SUB, 7daze, 7 daze, Pineapple, Coconut, Banana, Pina Colada, Fruit",,
SUB,7 Daze,Fusion Pineapple Mango Orange,"SUB, 7daze, 7 daze, Pineapple, Mango, Orange, Fruit",,
SUB,7 Daze,Fusion Raspberry Green Apple Watermelon,"SUB, 7daze, 7 daze, Raspberry, Green Apple, Watermelon, Apple, Fruit",,
SUB,7 Daze,Fusion Strawberry Banana Apple,"SUB, 7daze, 7 daze, Strawberry, Banana, Apple, Red Apple, Fruit",,
SUB,7 Daze,Fusion Strawberry Blackberry Lemon,"SUB, 7daze, 7 daze, Strawberry, Blackberry, Lemon, Fruit",,
SUB,7 Daze,Fusion Strawberry Mango Nectarine,"SUB, 7daze, 7 daze, Strawberry, Mango, Nectarine, Fruit",,
SUB,7 Daze,Fusion Watermelon Apple Pear,"SUB, 7daze, 7 daze, Watermelon, Apple, Pear, Red Apple, Fruit",,
SUB,7 Daze,Fusion Yellow Green Red Mango,"SUB, 7daze, 7 daze, Mango, Fruit",,
SUB,7 Daze,Iced Fusion Banana Cantaloupe Honeydew Iced,"SUB, 7daze, 7 daze, Banana, Cantaloupe, Honeydew, Fruit, Ice, Menthol",,
SUB,7 Daze,Iced Fusion Grape Apple Aloe Iced,"SUB, 7daze, 7 daze, Grape, Apple, Aloe, Fruit, Ice, Menthol",,
SUB,7 Daze,Iced Fusion Grapefruit Orange Mango Iced,"SUB, 7daze, 7 daze, Grapefruit, Orange, Mango, Fruit, Ice, Menthol",,
SUB,7 Daze,Iced Fusion Kiwi Passionfruit Guava Iced,"SUB, 7daze, 7 daze, Kiwi, Passionfruit, Guava, Fruit, Ice, Menthol",,
SUB,7 Daze,Iced Fusion Lemon Passionfruit Blueberry Iced,"SUB, 7daze, 7 daze, Lemon, Passionfruit, Blueberry, Fruit, Ice, Menthol",,
SUB,7 Daze,Iced Fusion Orange Cream Mango Iced,"SUB, 7daze, 7 daze, Orange, Cream, Mango, Fruit, Ice, Menthol",,
SUB,7 Daze,Iced Fusion Orange Yuzu Tangerine Iced,"SUB, 7daze, 7 daze, Orange, Yuzu, Tangerine, Fruit, Ice, Menthol",,
SUB,7 Daze,Iced Fusion Pineapple Coconut Banana Iced,"SUB, 7daze, 7 daze, Pineapple, Coconut, Banana, Pina Colada, Fruit, Ice, Menthol",,
SUB,7 Daze,Iced Fusion Pineapple Mango Orange Iced,"SUB, 7daze, 7 daze, Pineapple, Mango, Orange, Fruit, Ice, Menthol",,
SUB,7 Daze,Iced Fusion Raspberry Green Apple Watermelon Iced,"SUB, 7daze, 7 daze, Raspberry, Green Apple, Watermelon, Apple, Fruit, Ice, Menthol",,
SUB,7 Daze,Iced Fusion Strawberry Banana Apple Iced,"SUB, 7daze, 7 daze, Strawberry, Banana, Apple, Red Apple, Fruit, Ice, Menthol",,
SUB,7 Daze,Iced Fusion Strawberry Blackberry Lemon Iced,"SUB, 7daze, 7 daze, Strawberry, Blackberry, Lemon, Fruit, Ice, Menthol",,
SUB,7 Daze,Iced Fusion Strawberry Mango Nectarine Iced,"SUB, 7daze, 7 daze, Strawberry, Mango, Nectarine, Fruit, Ice, Menthol",,
SUB,7 Daze,Iced Fusion Watermelon Apple Pear Iced,"SUB, 7daze, 7 daze, Watermelon, Apple, Pear, Red Apple, Fruit, Ice, Menthol",,
SUB,7 Daze,Iced Fusion Yellow Green Red Mango Iced,"SUB, 7daze, 7 daze, Mango, Fruit, Ice, Menthol",,
SUB,7daze,"Glacial Mint -  - A crisp, minty blast of menthol with every puff.","SUB, 7daze, 7 daze, Mint, Cool, Ice, Menthol",,
SUB,7daze,Reds Apple Berries,"SUB, 7daze, 7 daze, Apple, Berries, Red Apple, Blueberry, Raspberry, Pomegranate, Fruit",,
SUB,7daze,Reds Apple Gold Kiwi,"SUB, 7daze, 7 daze, Apple, Kiwi, Fruit, Red Apple",,
SUB,7daze,Reds Apple Gold Kiwi Iced,"SUB, 7daze, 7 daze, Apple, Kiwi, Red Apple, Ice, Fruit, Menthol",,
SUB,7daze,Reds Apple Grape,"SUB, 7daze, 7 daze, Apple, Grape, Red Apple, Fruit",,
SUB,7daze,Reds Apple Original,"SUB, 7daze, 7 daze, Apple, Red Apple, Fruit",,
SUB,7daze,Reds Apple Strawberry,"SUB, 7daze, 7 daze, Apple, Strawberry, Red Apple, Fruit",,
SUB,7daze,Reds Apple Strawberry 06mgAS6,"SUB, 7daze, 7 daze, Apple, Strawberry, Red Apple, Fruit",,
SUB,7daze,Reds Apple Watermelon,"SUB, 7daze, 7 daze, Apple, Watermelon, Red Apple, Fruit",,
SUB,7daze,Reds Iced Apple Berries Iced,"SUB, 7daze, 7 daze, Apple, Berries, Red Apple, Blueberry, Raspberry, Pomegranate, Fruit, Ice, Menthol",,
SUB,7daze,Reds Iced Apple Grape Iced,"SUB, 7daze, 7 daze, Apple, Grape, Red Apple, Fruit, Ice, Menthol",,
SUB,7daze,Reds Iced Apple Original Iced,"SUB, 7daze, 7 daze, Apple, Red Apple, Ice, Fruit, Menthol",,
SUB,7daze,Reds Iced Apple Strawberry Ice,"SUB, 7daze, 7 daze, Apple, Strawberry, Red Apple, Fruit, Ice, Menthol",,
SUB,7daze,Reds Iced Apple Watermelon Iced,"SUB, 7daze, 7 daze, Apple, Watermelon, Red Apple, Fruit, Ice, Menthol",,
SUB,7daze,Reds Slapple - Apple and Blue Razz. A collaboration between Reds Apple and Keep It 100.,"SUB, 7daze, 7 daze, Apple, Red Apple, Fruit, Blue Raspberry, Blue Razz, Candy",,
SUB,7daze,Reds Slapple Iced - Apple and Blue Razz Iced. A collaboration between Reds Apple and Keep It 100.,"SUB, 7daze, 7 daze, Apple, Red Apple, Fruit, Blue Raspberry, Blue Razz, Candy, Ice, Menthol",,
SUB,Air Factory,Menthol,"Menthol, Ice",,
SUB,Air Factory,Mint,"Mint, Cool, Ice, Menthol",,
SUB,Air Factory,Unflavored,"Unflavored, Flavorless",,
SUB,Alt Zero,Excision Harambe,"SUB, Alt Zero, Banana, Strawberry, Blackberry, Blueberry, Fruit, Smoothie",,
SUB,Alt Zero,"Excision Paradox - A pitch black Mountain Dew with a twist of bold citrus, grape and dark fruits.","SUB, Alt Zero, Grape, Citrus, Blackberry, Fruit",,
SUB,Alt Zero,"Excision Paradox OTR - Iced pitch black Mountain Dew with a twist of bold citrus, grape and dark fruits.","SUB, Alt Zero, Grape, Citrus, Blackberry, Ice, Fruit, Menthol",,
SUB,Alt Zero,Excision Virus - The electrifying original lemon lime citrus dew.,"SUB, Alt Zero, Lemon, Lime, Citrus, Mtn Dew, Mountain Dew, Fruit",,
SUB,Alt Zero,Excision X Rated - Sweet blueberry tart yogurt.,"SUB, Alt Zero, Blueberry, Raspberry, Blackberry, Yogurt, Vanilla, Cream, Fruit, Dessert",,
SUB,Alt Zero,Just Blues - A burst of blueberries and raspberries as these sour blue razz flavors explode.,"SUB, Alt Zero, Blue, Candy, Blueberry, Blue Razz, Blue Raspberry, Fruit",,
SUB,Alt Zero,"Just Reds - Strawberry, Watermelon, Cherry and Fruit Punch Candies.","SUB, Alt Zero, Red, Candy, Strawberry, Watermelon, Cherry, Fruit Punch, Fruit, Raspberry",,
SUB,Bad Drip,Bad Blood - Blueberry and Pomegranate.,"SUB, Bad Drip, Blueberry, Pomegranate, Vanilla, Dessert, Fruit",,
SUB,Bad Drip,Dont Care Bear - Peach and Pear gummies.,"SUB, Bad Drip,Peach, Pear, Gummy, Candy, Fruit",,
SUB,Bad Drip,Drooly - Grape Berry Gobstopper.,"SUB, Bad Drip,Grape, Candy, Fruit",,
SUB,Bad Drip,"God Nectar - Passion fruit, guava, mango, and orange.","SUB, Bad Drip,Passion Fruit, Orange, Mango, Guava, Fruit",,
SUB,Barista Brew,Salted Caramel Macchiato,"SUB, Barista, Salted Caramel, Macchiato, Coffee, Caramel, Cream, Dessert",,
SUB,Beard Vape Co.,#32 - A delicious cinnamon funnel cake,"SUB,Beard, Funnel Cake, Cinnamon, Vanilla, Dessert",,
SUB,Beard Vape Co.,Apple Cinnamon The One,"SUB,Beard, Apple, Cinnamon, Donut, Milk, Cream, Dessert",,
SUB,Beard Vape Co.,Blueberry The One,"SUB,Beard, Blueberry, Donut, Cereal, Milk, Cream, Dessert",,
SUB,Beard Vape Co.,Marshmellow The One,"SUB,Beard, Marshmallow, Donut, Milk, Cinnamon, Dessert",,
SUB,Beard Vape Co.,Strawberry The One,"SUB,Beard, Strawberry, Donut, Milk, Cereal, Dessert",,
SUB,Brewed Awakening,Classic -  - A frappacino with a caramel blast and bold coffee finish with hazelnut and cream.,"Coffee, Caramel, Hazelnut, Cream, Dessert",,
SUB,Candy King,Batch - Sour Patch Candy.,"SUB, Candy King, Sour Patch Kids, Candy, Orange, Cherry, Lemon, Lime, Fruit",,
SUB,Candy King,"Gush - Blueberry, raspberry, strawberry, green apple, and even orange.","SUB, Candy King, Blueberry, Raspberry, Strawberry, Apple, Green Apple, Orange, Gummy, Candy, Fruit",,
SUB,Candy King,Peachy Rings - Sour peach gummy ring.,"SUB, Candy King, Peach, Gummy, Candy, Fruit",,
SUB,Candy King,"Pink Squares - Chewy goodness blasting with flavor. Every inhale is a rush of vibrant, sweet fruity flavor.","SUB, Candy King, Strawberry, Gummy, Candy, Fruit",,
SUB,Candy King,Strawberry Watermelon Bubblegum,"SUB, Candy King, trawberry, Watermelon, Bubblegum, Candy, Fruit",,
SUB,Candy King,Swedish,"SUB, Candy King, Strawberry, Raspberry, Candy, Fruit, Gummy",,
SUB,Candy King,Worms - Gummy Worms,"SUB, Candy King, Orange, Lime, Lemon, Strawberry, Cherry, Raspberry, Gummy, Candy, Fruit",,
SUB,Cassadega,Cannoli Be Breakfast,"SUB, Cassadaga, Cannoli, Cream, Fruit Loops, Cereal, Dessert",,
SUB,Cassadega,Cannoli Be Cookie,"SUB, Cassadaga, Cannoli, Cream, Oreo, Cookie, Dessert",,
SUB,Cassadega,Cannoli Be Graham,"SUB, Cassadaga, Cannoli, Graham, Cream, Dessert",,
SUB,Cassadega,Cannoli Be Mine,"SUB, Cassadaga, Cannoli, Cream, Strawberry, Dessert",,
SUB,Cassadega,Cannoli Be Nuts,"SUB, Cassadaga, Cannoli, Cream, Pistachio, Nuts, Dessert",,
SUB,Cassadega,Cannoli Be One,"SUB, Cassadaga, Cannoli, Cream, Vanilla, Dessert",,
SUB,Chubby Vapes,"Purp -  - Delicious, grape infused bubblegum.","Grape, Bubblegum, Candy, Fruit",,
SUB,Cloud Chemist,Cereal Science - A nostalgic berry inhale with a sweet cereal milk exhale.,"SUB, Cloud, Chemist, Cereal, Milk, Berry, Strawberry, Blueberry, Raspberry, Dessert",,
SUB,Cloud Chemist,Claws - An apple bear claw with a gooey caramel apple filling.,"SUB, Cloud, Chemist, Caramel, Green Apple, Apple, Pastrey, Dessert",,
SUB,Cloud Chemist,Frosty Science - Sweet sugary flaky cereal with a delicious cream finish.,"SUB, Cloud, Chemist, Frosted Flakes, Cereal, Milk, Dessert",,
SUB,Cloud Chemist,Heisenberry Crunch - A blueberry cereal inhale with a sweet creamy exhale.,"SUB, Cloud, Chemist, Blueberry, Cereal, Milk, Dessert",,
SUB,Cloud Chemist,Loopy Science - Frosted loopy cereal.,"SUB, Cloud, Chemist, Fruit Loops, Cereal, Milk, Dessert",,
SUB,Cloud Chemist,Pebble Science - Your favorite pebble cereal during the bedrock era.,"SUB, Cloud, Chemist, Fruity Pebbles, Cereal, Milk, Dessert",,
SUB,Cloud Chemist,The Alchemist - A sweet sugar frosted cinnamon cereal inhale with a creamy exhale.,"SUB, Cloud, Chemist, Cinnamon, Sugar, Cinnamon Sugar, Cinnamon Toast Crunch, Cereal, Milk, Dessert",,
SUB,Cloud Chemist,"The Final Experiment - Frosted corn cereal inhale, with a maple brown sugar drizzle and creamy finish.","SUB, Cloud, Chemist, Corn Pops, Maple, Cereal, Milk, Dessert",,
SUB,Cloud Nurdz,Blue Raspberry Lemon,"SUB, Cloud, Nurdz, Blue Razz, Blue Raspberry, Lemon, Candy, Fruit",,
SUB,Cloud Nurdz,Grape Apple,"SUB, Cloud, Nurdz, Grape, Apple, Green Apple, Candy, Fruit",,
SUB,Cloud Nurdz,Grape Strawberry,"SUB, Cloud, Nurdz, Grape, Strawberry, Candy, Fruit",,
SUB,Cloud Nurdz,Sour Watermelon Strawberry,"SUB, Cloud, Nurdz, Sour, Watermelon, Strawberry",,
SUB,Cloud Nurdz,Watermelon Apple,"SUB, Cloud, Nurdz, Watermelon, Apple, Green Apple, Fruit, Candy",,
SUB,Cloud Nurdz,Watermelon Berry,"SUB, Cloud, Nurdz, Watermelon, Berry, Strawberry, Fruit, Candy",,
SUB,Country Clouds,Blueberry Corn Bread Puddin',"Cornbread, Brown Sugar, Maple, Vanilla, Pudding, Dessert, Blueberry",,
SUB,Country Clouds,Corn Bread Puddin',"Cornbread, Brown Sugar, Maple, Vanilla, Pudding, Dessert",,
SUB,Cuttwood,Bird Brains - A blend of fruity cereals with a hint of milk.,"SUB, Cuttwood, Fruit Loops, Cereal, Milk, Dessert",,
SUB,Cuttwood,"Boss Reserve - Honey graham cracker cereal, toasted nuts, sliced banana and creamy milk.","SUB, Cuttwood, Graham, Milk, Banana, Dessert",,
SUB,Cuttwood,"Mega Melons - Mango, cantaloupe, and papaya.","SUB, Cuttwood, Melons, Cantaloupe, Papaya, Pineapple, Fruit",,
SUB,Cuttwood,Sugar Drizzle - Sugary cinnamon paired with a smooth creamy body.,"SUB, Cuttwood, Cinnamon, Sugar, Cinnamon Sugar, Cereal, Milk, Dessert",,
SUB,Cuttwood,Tobacco Trail - Mild tobacco with a hint of honey.,"SUB, Cuttwood, Tobacco, Honey",,
SUB,Cuttwood,Unicorn Milk - A perfect blend of strawberry and four unique creams.,"SUB, Cuttwood, Milk, Strawberry, Dessert",,
SUB,Dinner Lady,Lemon Tart,"Lemon, Pastrey, Dessert, Custard",,
SUB,Free Noms,Caramel Butterscotch Classic,"Caramel, Butterscotch, Vanilla, Cream, Dessert",,
SUB,Fruitia,Apple Kiwi,"Apple, Kiwi, Fuit",,
SUB,Fruitia,Banana Ice,"Banana, Fruit, Ice, Menthol",,
SUB,Fruitia,Blood Orange Cactus,"Blood Orange, Orange, Cactus, Fruit, Tangerine",,
SUB,Fruitia,Jus Apple Bourbon Tobacco,"Apple, Bourbon, Tobacco",,
SUB,Fruitia,Jus Blue Raspberry Cotton Candy,"Blue Razz, Blue Raspberry, Cotton Candy, Candy, Fruit",,
SUB,Fruitia,Jus Rainbow Ice,"Fruit, Strawberry, Lime, Grape, Lemon, Orange, Skittles, Candy, Ice, Menthol",,
SUB,Fruitia,Jus White Grape Ice,"White Grape, Grape, Fruit, Ice, Menthol",,
SUB,Fruitia,Passion Fruit Guava,"Passionfruit, Guava, Papaya, Fruit, Tropical",,
SUB,Fruitia,Pineapple Citrus,"Pineapple, Citrus, Mango, Fruit",,
SUB,Fruitia,Strawberry Coconut,"Strawberry, Coconut, Fruit",,
SUB,Fruitia,Sweet Peach,"Peach, Sweet, Strawberry, Fruit",,
SUB,Glas Basix,Banana Cream Pie,"Banana, Cream, Vanilla, Pie Crust, Graham, Dessert",,
SUB,Glas Basix,Blue Razz,"Blue Raspberry, Fruit, Blue Razz, Candy, Blueberry, Raspberry",,
SUB,Glas Basix,Blueberry Cake,"Blueberry, Cake, Sweet, Dessert, Vanilla, Frosting",,
SUB,Glas Basix,Butterscotch Reserve,"Butterscotch, Sweet, Caramel, Tobacco, Dessert",,
SUB,Glas Basix,Caribbean Punch,"Pineapple, Apple, Peach, Strawberry, Fruit, Apricot",,
SUB,Glas Basix,Cool Melon,"Melon, Cantaloupe, Cucumber, Ice, Menthol",,
SUB,Glas Basix,Fizzy Lemonade,"Lemonade, Lemon, Lime, Pineapple, Ice, Menthol",,
SUB,Glas Basix,Strawberry Blast,"Strawberry, Gummy, Candy, Berry, Fruit",,
SUB,Gost Vapor,The Pancake House Banana Nuts,"Banana, Walnut, Pancake, Maple, Dessert",,
SUB,Gost Vapor,The Pancake House Blueberry,"Blueberry, Pancake, Maple, Dessert",,
SUB,Gost Vapor,The Pancake House Caramelized Apple,"Pancake, Caramel, Apple, Green Apple, Maple, Dessert",,
SUB,Gost Vapor,The Pancake House Golden Maple,"Pancake, Maple, Butter, Dessert",,
SUB,Gost Vapor,The Pancake House Strawberry,"Strawberry, Pancake, Maple, Dessert",,
SUB,Halo,"Fusion - an unflavored tobacco vape juice with a clean, pure taste, providing nicotine since 2011.","Unflavored, Flavorless",,
SUB,Halo,Kringle's Curse - Peppermint,"Peppermint, mint, ice, menthol",,
SUB,Halo,"Sub Zero - An intense, cool menthol effect with superior vapor production and a glacier-fresh finish.","Menthol, Ice",,
SUB,Halo,"Tribeca - Rich and smooth tobacco flavor, bold top notes and a decadent, velvety finish.","Tobacco, Vanilla, Caramel",,
SUB,Innevape,Heisenberg Menthol,"Blue Raspberry, Fruit, Blue Razz, Candy, Ice, Menthol",,
SUB,Juice Head,F Blue Lemon FREEZE,"Blueberry, Lemon, Ice, Menthol, Fruit",,
SUB,Juice Head,F Guava Peach FREEZE,"Guava, Peach, Ice, Menthol, Fruit",,
SUB,Juice Head,F Mango Strawberry FREEZE,"Mango, Strawberry, Ice, Menthol, Fruit",,
SUB,Juice Head,F Orange Mango FREEZE,"Orange, Mango, Ice, Menthol, Fruit",,
SUB,Juice Head,F Peach Pear FREEZE,"Peach, Pear, Ice, Menthol, Fruit",,
SUB,Juice Head,F Peach Pear FREEZE 06mgPPF6,"Peach, Pear, Ice, Menthol, Fruit",,
SUB,Juice Head,F Pineapple GrapeFruit FREEZE,"Pineapple, Grapefruit, Ice, Menthol, Fruit",,
SUB,Juice Head,F Pineapple Guava FREEZE,"Pineapple, Guava, Ice, Menthol, Fruit",,
SUB,Juice Head,F Strawberry Kiwi FREEZE,"Strawberry, Kiwi, Ice, Menthol, Fruit",,
SUB,Juice Head,F Watermelon Lime FREEZE,"Watermelon, Lime, Ice, Menthol, Fruit",,
SUB,Juice Head,Freeze Raspberry Lemonade,"Raspberry, Lemonade, Lemon, Ice, Menthol, Fruit",,
SUB,Juice Head,R Blue Lemon,"Blueberry, Lemon, Fruit",,
SUB,Juice Head,R Guava Peach,"Guava, Peach, Fruit",,
SUB,Juice Head,R Mango Strawberry,"Mango, Strawberry, Fruit",,
SUB,Juice Head,R Orange Mango,"Orange, Mango, Fruit",,
SUB,Juice Head,R Peach Pear,"Peach, Pear, Fruit",,
SUB,Juice Head,R Pineapple GrapeFruit,"Pineapple, Grapefruit, Fruit",,
SUB,Juice Head,R Pineapple Guava,"Pineapple, Guava, Fruit",,
SUB,Juice Head,R Strawberry Kiwi,"Strawberry, Kiwi, Fruit",,
SUB,Juice Head,R Watermelon Lime,"Watermelon, Lime, Fruit",,
SUB,Juice Head,Raspberry Lemonade,"Raspberry, Lemonade, Lemon, Fruit",,
SUB,Kaleidoscopic,"Looking Glass - A mouthwatering medley which magnifies sweet watermelon, ripe kiwi and strawberries.","Strawberry, Kiwi, Watermelon, Candy, Fruit",,
SUB,Kaleidoscopic,"Optical Illusion - A full spectrum of colorful flavors, swirling with sweet mango and melon.","Mango, Melon, Fruit, Candy",,
SUB,Kaleidoscopic,Ruby's Eyes - A mouthwatering pomegranate and candied raspberry.,"Raspberry, Pomagranate, Candy, Fruit",,
SUB,Kaleidoscopic,Sunset - A tropical blend of raspberry & orange.,"Raspberry, Orange, Fruit",,
SUB,Keep It 100,Berry Au Lait - A Combination Of Fresh Cream And perfectly Ripe Strawberries.,"Strawberry, Cream, Milk, Dessert",,
SUB,Keep It 100,Maui Blast,"Guava, Passionfruit, Lychee, Fruit, Tropical",,
SUB,Keep It 100,OG Blue - A Classic Blue Razz Slushie!,"Blue Raspberry, Fruit, Blue Razz, Candy, Strawberry",,
SUB,Keep It 100,"OG Blue Ice - Your Favorite Blue Razz Slushie, Complete With The Icy Finish.","Blue Raspberry, Fruit, Blue Razz, Candy, Strawberry, Ice, Menthol",,
SUB,Keep It 100,OG Nana Foster,"Banana, Cinnamon, Sugar, Cinnamon Sugar, Vanilla, Dessert",,
SUB,Keep It 100,OG Pink - A combination of juicy strawberry and lip smacking taffy with a cool exhale.,"Strawberry, Fruit, Candy",,
SUB,Keep It 100,OG Summer Blue - Sweet And Tart Lemonade Elevates Our Famous Blue Razz To Summertime.,"Blue Raspberry, Fruit, Blue Razz, Candy, Raspberry, Strawberry, Lemon, Lemonade",,
SUB,Keep It 100,OG Tropical Blue - Blue Raspberry Slushie Blended with an Assortment of Tropical Flavors.,"Blue Raspberry, Fruit, Blue Razz, Candy, Strawberry, Guava, Pineapple, Peach",,
SUB,Khali,Devil's Punchbowl - Guava with a soft hint of Peach.,"Guava, Peach, Fruit, Fruit Punch, Hawaiian Punch",,
SUB,Khali,Devil's Punchbowl ICE - Guava with a soft hint of Peach and a touch of Ice.,"Guava, Peach, Fruit, Fruit Punch, Hawaiian Punch, Ice, Menthol",,
